0.00 0.28 0.32 0.10 0.10 0.14 0.36 1.00 0.71 0.70 1.02 0.80 0.81 1.90 2.01 1.82 2.00 1.80 1.91 1.80
0.28 0.00 0.14 0.22 0.22 0.14 0.10 1.22 0.95 0.92 1.20 1.02 1.04 2.11 2.20 2.00 2.20 2.00 2.10 2.01
0.32 0.14 0.00 0.30 0.22 0.20 0.10 1.30 1.02 1.00 1.30 1.10 1.12 2.20 2.30 2.11 2.30 2.10 2.20 2.10
0.10 0.22 0.30 0.00 0.14 0.10 0.32 1.00 0.73 0.71 1.00 0.81 0.82 1.90 2.00 1.81 2.00 1.80 1.90 1.80
0.10 0.22 0.22 0.14 0.00 0.10 0.28 1.10 0.81 0.80 1.12 0.90 0.91 2.00 2.11 1.92 2.10 1.90 2.01 1.90
0.14 0.14 0.20 0.10 0.10 0.00 0.22 1.10 0.82 0.81 1.10 0.91 0.92 2.00 2.10 1.91 2.10 1.90 2.00 1.90
0.36 0.10 0.10 0.32 0.28 0.22 0.00 1.32 1.04 1.02 1.30 1.12 1.14 2.21 2.30 2.10 2.30 2.10 2.20 2.11
1.00 1.22 1.30 1.00 1.10 1.10 1.32 0.00 0.32 0.30 0.20 0.20 0.22 0.90 1.02 0.85 1.00 0.81 0.92 0.80
0.71 0.95 1.02 0.73 0.81 0.82 1.04 0.32 0.00 0.10 0.42 0.14 0.10 1.20 1.33 1.17 1.32 1.12 1.24 1.10
0.70 0.92 1.00 0.71 0.80 0.81 1.02 0.30 0.10 0.00 0.36 0.10 0.14 1.20 1.32 1.14 1.30 1.10 1.22 1.10
1.02 1.20 1.30 1.00 1.12 1.10 1.30 0.20 0.42 0.36 0.00 0.28 0.36 0.92 1.00 0.81 1.00 0.81 0.90 0.82
0.80 1.02 1.10 0.81 0.90 0.91 1.12 0.20 0.14 0.10 0.28 0.00 0.10 1.10 1.22 1.04 1.20 1.00 1.12 1.00
0.81 1.04 1.12 0.82 0.91 0.92 1.14 0.22 0.10 0.14 0.36 0.10 0.00 1.10 1.24 1.08 1.22 1.02 1.14 1.00
1.90 2.11 2.20 1.90 2.00 2.00 2.21 0.90 1.20 1.20 0.92 1.10 1.10 0.00 0.22 0.32 0.14 0.14 0.20 0.10
2.01 2.20 2.30 2.00 2.11 2.10 2.30 1.02 1.33 1.32 1.00 1.22 1.24 0.22 0.00 0.22 0.10 0.22 0.10 0.28
1.82 2.00 2.11 1.81 1.92 1.91 2.10 0.85 1.17 1.14 0.81 1.04 1.08 0.32 0.22 0.00 0.28 0.20 0.14 0.30
2.00 2.20 2.30 2.00 2.10 2.10 2.30 1.00 1.32 1.30 1.00 1.20 1.22 0.14 0.10 0.28 0.00 0.20 0.14 0.22
1.80 2.00 2.10 1.80 1.90 1.90 2.10 0.81 1.12 1.10 0.81 1.00 1.02 0.14 0.22 0.20 0.20 0.00 0.14 0.10
1.91 2.10 2.20 1.90 2.01 2.00 2.20 0.92 1.24 1.22 0.90 1.12 1.14 0.20 0.10 0.14 0.14 0.14 0.00 0.22
1.80 2.01 2.10 1.80 1.90 1.90 2.11 0.80 1.10 1.10 0.82 1.00 1.00 0.10 0.28 0.30 0.22 0.10 0.22 0.00
